Supplier Code,Manufacturer,SKU,Item Name,Quantity Available,Quantity Used,Stock Sales Ratio
240446,,130-031,"NGK LKR6F-10 BUJIA DE ENCENDIDO PARA VEHICULOS SUZUKI, BALENO, CIAZ, SWIFT",0.00,20.00,0
240396,Capris S.A.,130-032,NGK PLZKAR6A-11 BUJIA CON RESISTENCIA PLATINO TIPO PROYECTADO GBRADO 6 ROSCA 16MM,0.00,8.00,0
240482,Capris S.A.,130-035,NGK IFR5T11 BUJIA LASER IRIDIUM GRADO 5 14MMX19MM HEX 16MM,0.00,8.00,0
240705,Capris S.A.,130-050,"NGK RC-TE66 CABLES PARA BUJIAS TOYOTA T100, TACOMA, 4 RUNNER, TUNDRA (1995-2003)",0.00,1.00,0
240703,Capris S.A.,130-054,"NGK RC-NX14 CABLES PARA BUJIAS NISSAN FRONTIER X-TERRA, PATHFINDER 1996-2004, INFINITY QX4 1997-2000",0.00,1.00,0
240704,Capris S.A.,130-055,"NGK RC-TE63 CABLES PARA BUJIAS TOYOTA TERCEL, PASEO (1995-1999)",0.00,1.00,0
39210-23026,,800-494,"234-4690 250-24357 HYUNDI ELANTRA, ACCENT TRACE 95-01",0.00,1.00,0
54524-2S686,,800-500,"TIJERETA SUP. RH. NIS. FRONTIER. 01/12, NAVARA. 97/13, NP300 08/21, D22. 97/12, 4X4 54524-8B550",0.00,1.00,0
48069-87403,,800-503,TIJERETA INFERIOR LH. DAIH. TERIOS. 97/06,0.00,1.00,0
48068-87403,,800-502,TIJERETA INFERIOR RH. DAIH. TERIOS. 97/06,0.00,1.00,0
42431-52070/42431-52070,Renapa S.A.,509-1506,TAMBOR FRENO TOYOTA YARIS 06-10 PRIUS DAIHATSU CHARADE HACHBACK 11-,0.00,2.00,0
47550-35200,,800-511,BOMBA AUXILIAR FRENO TRASERA 15-16 TOYOTA HILUX 96-99,0.00,2.00,0
93490-1W110,,800-513,SANTA FE 2010+ ELANTRA 10- REDONDO VELOSTER,0.00,1.00,0
1619,,800-514,SOPORTE IZQUIERDO HONDA FIT L4 1.5 06-08,0.00,1.00,0
D1200C,Renapa S.A.,509-0227,PASTILLA FRENTE HONDA FIT 04- VERSION LATINA,0.00,1.00,0
M593,,800-520,REGULAR HYUNDAI ACCENT BLUE KIA 12V,0.00,1.00,0
90919-02240,REPUESTOS BIANCHI,529-051,"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",0.00,5.00,0
G518339S/51726-S5A-002/51920-S6M-J02/51920-S7A-024/51925-S5A-024/51925-S6M-014/51925-S6M-J02/51925-S7A-014/51925-S7A-024/51726-S5A-004/51726-SJF-004/51920-S5A-024/,Renapa S.A.,519-0005,GALLETA COMPENSADOR HONDA CIVIC 01-05 DELANTERA L/R,0.00,2.00,0
G824137,Renapa S.A.,520-0034,PUNTA DE EJE HYUNDAI ELANTRA i30 Ix20 KIA CERATO FORTE SOUL 10- 27 DIENTES externa,0.00,1.00,0
G841167,Renapa S.A.,520-0085,PUNTA DE EJE NISSAN TIIDA 1.6 07- C11X 25x22x49 externa,0.00,1.00,0
G659100,Renapa S.A.,520-0141,PUNTA DE EJE TOYOTA YARIS COROLLA AURIS FWD 09-12 20x25x35 interna,0.00,2.00,0
G333304,Renapa S.A.,522-0048,COMPENSADOR HYUNDAI ACCENT 94-06 633177 DEL RH,0.00,1.00,0
G444103,Renapa S.A.,522-0158,COMPENSADOR TOYOTA HILUX RUNNER 4W 88- P/B R/L DEL,0.00,1.00,0
7734997,,800-538,BOMBA AUXILIAR FRENO 500 10 PUNTO 93 (BENDIX),0.00,2.00,0
43330-09070,REMUSA,72-2005,ROTULA SUSPENSION TOYOTA COROLLA 96-08 RAV4 01-05 CORAXI SB3642,0.00,1.00,0
90919-02240,REPUESTOS BIANCHI,529-051,"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",0.00,4.00,0
I12355,,800-554,CB-1229A BRG.BIELA STD YD22/5,0.00,1.00,0
TH-MD342397A,,800-556,EMPAQUE CABEZOTE MITSUBISHI LANCER 4G18 ADBESTO,0.00,1.00,0
TH-MD342397A,,800-556,EMPAQUE CABEZOTE MITSUBISHI LANCER 4G18 ADBESTO,0.00,3.00,0
12579143,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-130,FILTRO ACEITE ELEMENTO SOF-2-2050 CH9018 P3244 CHEVROLET CAPTIVA 11-18 MALIBU 12-17,4.00,2.00,27.906976744186046
G530012S/54611-1J000/54612-0U000/54611-1P000/54612-07000/54627-07000/54611-1Y000,Renapa S.A.,519-0010,GALLETA COMPENSADOR HYUNDAI ACCENT 11-17 DELANTERA I10 07-12 KIA RIO 12-17 KIA,0.00,2.00,0
1525-S934,Renapa S.A.,509-0575,ZAPATA F HY ELANTRA 06- 1.6 KIA CERATO 07-09 SPECTRA,0.00,1.00,0
31110-07150,Ningbo Sunshine Auto Parts Co,41-1003,Bomba de Combustible Kia Picanto 1000 cc,98.00,2.00,683.7209302325581
" 17040-8U002",Ningbo Sunshine Auto Parts Co,41-1005,Bomba de Combustible Nissan Sentra 96 1.6,99.00,1.00,1291.304347826087
51350SR3020 51350-SR3-000 51350-SR3-010 51350-SR3-020 51350-SR3-A00 51350-SR3-A01 51350-SR3-A02 51350-ST3-E00 51350-ST3-E02 51350-ST3-G00 51350-ST3-G01 51350-ST7-000 51350-ST7-010 51351-SR3-020 GSJ835 RBJ102220 RJB102230,Ningbo Sunshine Auto Parts Co,11-1016,Tijereta Inferior RH Honda Civic V VI 1.3 1.4 1.5 1.6 1.8 1991-2001 CRX III 1.6 1992-1998 Integra 1.8 1993-2001 Acura Integra 1.8 1993-2001,45.00,5.00,131.06796116504856
44600SR3A01,Ningbo Sunshine Auto Parts Co,83-2028,Bocina Delantera Honda Civic EG 1995,99.00,1.00,1291.304347826087
27420-03100,Ningbo Sunshine Auto Parts Co,114-1003,Set Cables de Bujia Kia Picanto 1000 cc,94.00,6.00,229.2682926829268
JP1116,,800-566,SOPORTE MOTOR DELANTERO TOYOTA COROLLA AE100 93-96 4AF,0.00,1.00,0
CRC03012,,800-570,BOCINA TRASERA GRAND SIENA PALIO 1.4-1.6 ETORQ 1,0.00,1.00,0
43512-0K150,Ningbo Sunshine Auto Parts Co,83-2041,Disco de Freno Delantero Toyota Hilux 2016/Current GUN125L-DGFXHF,102.00,4.00,368.6746987951807
58411-22100,Ningbo Sunshine Auto Parts Co,83-2011,Tambor de Freno Trasero Hyundai Accent 1994-2000 76 MM hueco bocina,94.00,6.00,229.2682926829268
43206-50Y10,Ningbo Sunshine Auto Parts Co,83-2016,Tambor/Disco de Freno Trasero Nissan Sentra B13,63.00,37.00,25.43741588156124
42510SR3J00,Ningbo Sunshine Auto Parts Co,83-2018,Tambor/Disco de Freno Trasero Honda Civic EG 1995,96.00,4.00,346.9879518072289
58305-1AA00 58305-25A00 58305-25A10 58305-25F10 5830525A00 583051AA00 5830525A10 5830525F10,Ningbo Sunshine Auto Parts Co,214-1011,Zapata de Freno Trasera Hyundai Accent 1999-2004 G4EK,96.00,4.00,346.9879518072289
44060-4B025/1438-S638,Ningbo Sunshine Auto Parts Co,214-1016,Zapata de Freno Trasera Nissan Sentra B13,88.00,12.00,108.64197530864197
25380-0X150 253800X150,Ningbo Sunshine Auto Parts Co,136-1003,Abanico de Radiador Hyundai I-10 GL Manual G4LA,2.00,6.00,4.878048780487805
50805-S04-000,Ningbo Sunshine Auto Parts Co,46-2032,Soporte de Transmision 1998 Honda CRV EX 4X4 2000 cc,198.00,1.00,2582.608695652174
AF5187T,JSM Unity Costa Rica Sociedad Anonima,530-1002,FILTRO DE AIRE HYUNDAI CRETA TUCSON SPORTAGE CARENS,0.00,3.00,0
AF1020T,JSM Unity Costa Rica Sociedad Anonima,530-1004,FILTRO DE AIRE MITSUBISHI L200 PAJERO NATIVA MONTERO,0.00,3.00,0
AF7911T,JSM Unity Costa Rica Sociedad Anonima,530-1013,FILTRO DE AIRE SUZUKI TRACKER SAMURIA VITARA XL7,2.00,1.00,26.086956521739133
AF4015T,JSM Unity Costa Rica Sociedad Anonima,530-1016,FILTRO DE AIRE TOYOTA COROLLA YARIS RAV4,0.00,3.00,0
AF1019T,JSM Unity Costa Rica Sociedad Anonima,530-1018,FILTRO DE AIRE KIA K2700,0.00,1.00,0
CAF1941PT,JSM Unity Costa Rica Sociedad Anonima,530-3019,FILTRO DE CABINA QASHQAI XTRAIL,0.00,1.00,0
PH1004T,JSM Unity Costa Rica Sociedad Anonima,530-0014,FILTRO ACEITE DODGE HYUNDAI KIA,2.00,1.00,26.086956521739133
AF1139T,JSM Unity Costa Rica Sociedad Anonima,530-1007,FILTRO DE AIRE NISSAN NP300,0.00,3.00,0
KO50345,Rafael Pinto & CO S.A. (PROLUSA),376-3037,FAJA GATES MICRO-V 5PK880,0.00,1.00,0
90919-02240,REPUESTOS BIANCHI,529-051,"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",0.00,12.00,0
K03421,,800-582,EMPAQUE CABEZOTE B302-10-271A B3(FESTIVA - BR-960,0.00,1.00,0
48830-76G00,,800-583,ROTULA CREMALLERA SUZUKI ALTO HEMBRA 14X12X237 SR7600,0.00,2.00,0
G9400161,,800-587,ROLL BOCINA TRASERO NISSAN XTRAIL 2WD 08 QASH 07-12 REN KOLEO,0.00,1.00,0
JP1411/ MR150767,NAVEMAR,44-1000,Hule-Est-Del-Mit-Nativa-Sport-97-15-LateralM-20X36X40,0.00,4.00,0
45700-71L00-LWT,DAILY,72-1095,"ROTULA SUSPENSION SUZUKI SWIFT, ERTIGA, CELERIO, 10/18, SB-S012",0.00,2.00,0
G444103,Renapa S.A.,522-0158,COMPENSADOR TOYOTA HILUX RUNNER 4W 88- P/B R/L DEL,0.00,1.00,0
G841167,Renapa S.A.,520-0085,PUNTA DE EJE NISSAN TIIDA 1.6 07- C11X 25x22x49 externa,0.00,1.00,0
71775/6G,,800-597,AMORTIGUADOR TOYOTA COROLLA 84-87 AE80 DELANTERO R/L G (333120//21),0.00,2.00,0
95967285,,800-604,ROTULA DIRECCION EXTERNA CHEVROLET SPARK 09-- CEK018,0.00,2.00,0
41100-22710 41100-28050 41100-28060 41100-28110 41100-22715 41100-28500 41100-28510 41100-28610,Ningbo Sunshine Auto Parts Co,317-501,Disco de Clutch Hyundai Accent 199-2004 G4EK,97.00,3.00,461.90476190476187
22300P29010,Ningbo Sunshine Auto Parts Co,318-507,Plato de Presion (Clutch) Honda Civic EG 1995,98.00,2.00,683.7209302325581
952303A400,Ningbo Sunshine Auto Parts Co,89-502,Relay Hyundai I-10 GL Manual G4LA.,197.00,3.00,938.095238095238
K41615,,800-612,SET EMP MTR i10 i20 G4LA 08-10 20910-03A00,0.00,1.00,0
BD35080,Renapa S.A.,509-1537,TAMBOR FRENO MITSUBISHI L200 MONTERO SPORT -05,0.00,2.00,0
JAP2324,,800-391,HULE BAL TOYOTA HILUX VIGO 06-18 LARGO M-19X30X53,0.00,4.00,0
71775/6G,,800-597,AMORTIGUADOR TOYOTA COROLLA 84-87 AE80 DELANTERO R/L G (333120//21),0.00,2.00,0
1525-S934,Renapa S.A.,509-0575,ZAPATA F HY ELANTRA 06- 1.6 KIA CERATO 07-09 SPECTRA,0.00,1.00,0
G9227004,RENAPA,800-109,ROLL BOCINA TRASERA NS SENTRA B15 00-06 ALMERA 00-06 CON ABS,0.00,1.00,0
AF7944T,JSM Unity Costa Rica Sociedad Anonima,530-1050,FILTRO AIRE KIA CARENS 1.6 1.8 2.0 SEPHIA SPECTRA,0.00,1.00,0
6193204000,,800-633,KIT CLUTCH HYUNDAI i10 1.2 iA BA 13- (3),0.00,1.00,0
96273608,,800-634,TUBO RADIADOR-BOMBA AGUA OPTRA/AVEO 1.6 DOHC/AVEO 1.5 SOHC,0.00,1.00,0
60-069,,800-641,ROTULA INF HONDA FIT RH 2006-2008,0.00,2.00,0
L22143,,800-647,T.P/FAJA 13505-74011 2/3/4/5S CAMRY/RAV4 - 57TB,0.00,1.00,0
F11141,,800-649,NJ-344 DEL.CIG.3S/FE/RAV4 - 42x60x7-90311-42031,0.00,1.00,0
S-630,IMPORTADORA BRIGO INTERNACIONAL S.A.,535-0001,CONECTA MODULO BOMBA GAS. TY COROLLA/YARIS SEDAN/ACC/VERNA/RIO 06-,0.00,2.00,0
15MPATF01,JSM Unity Costa Rica Sociedad Anonima,106-1000,ACEITE ATF SUPER MINERAL MP,0.00,12.00,0
15MPATF01,JSM Unity Costa Rica Sociedad Anonima,106-1000,ACEITE ATF SUPER MINERAL MP,0.00,2.00,0
14PSF01,JSM Unity Costa Rica Sociedad Anonima,106-1001,TEC POWER STEERING FLUID,0.00,12.00,0
MR403420-01,DAILY,72-3051,"ROT. SUSP. RH/LH. MIT. LANCER. 00/17, ASX. 10/15, OUTLANDER. 10/20, SB-7872, CBM-36 =MN101741, 4013A280",0.00,1.00,0
27301-2B100,REPUESTOS BIANCHI,529-056,BOBINA ACCENT VELOSTER 14-18,0.00,4.00,0
F03763,,800-665,ROLL EMPUJE 47TKB3102A D16A 91- - BRG-820-228,0.00,1.00,0
3491H,,800-669,SOP. FRONT. DER. CITY L4 1.5 09-11,0.00,1.00,0
3492,,800-670,SOP. CAJA AUT. HONDA CITY 1.5 09-12,0.00,1.00,0
60-069,,800-641,ROTULA INF HONDA FIT RH 2006-2008,0.00,2.00,0
54501-B4000-LWT,DAILY,517-1040,"TIJERETA RH. HYU. GRAND I10. 13/20, CBKK-27",0.00,1.00,0
CRC03012,,800-570,BOCINA TRASERA GRAND SIENA PALIO 1.4-1.6 ETORQ 1,0.00,1.00,0
WP900387,,800-684,BOMBA AGUA MITSUBISHI MONTERO PAJERO 4M40 4M41 93-,0.00,1.00,0
G341461,,800-693,COMP NISSAN PATHFINDER 05-13 RN51 DEL NAVARA D40 05-,0.00,2.00,0
60-653,Vazlo Costa Rica Sociedad Anonima,72-4004,ROTULA ESTAB. DEL. NISSAN TIIDA 06-16-VERSA 12-15-HYUNDAI ACCENT,0.00,2.00,0
KO539,,800-699,Bush-Tij-Tras-Hyundai-Tucson-IX35-11-15 Sportage-11-15-4X4-4X2 / 12X40.5X47.5,0.00,4.00,0
KO419,,800-475,BUSHING TIJERETA TRASERA HYUNDAI TUCSON IX35-11-20-SPORTAGE-11-20-4X4-4X2 M-14X40X45,0.00,4.00,0
54500-EW000,DAILY,517-1042,"TIJERETA RH. NIS. TIIDA, VERSA. 05/15, HR15, HR16, MR18DE, BUJE Y MONTURA",0.00,1.00,0
1228,,800-714,JP1709 SOP-MOT-HONDA-CIVIC 01-05-RH,0.00,1.00,0
54500-EW000,DAILY,517-1042,"TIJERETA RH. NIS. TIIDA, VERSA. 05/15, HR15, HR16, MR18DE, BUJE Y MONTURA",0.00,1.00,0
G341138,Renapa S.A.,522-0017,COMPENSADOR HONDA CIVIC 92-95 CRX EG1/2.EH6 92-00 INTEGRA RH,0.00,2.00,0
58510-1Y000KP,,800-729,B P FRENO KIA PICANTO DOHC 5V 5P 1.2 11- 13/16,0.00,1.00,0
HD497,,800-740,HARDWARE HYUNDAI ELANTRA EXCEL ACCENT -05 D440 D404,0.00,1.00,0
MR507252,,800-743,01-05 INYECTOR LANCER ECLIPSE GALANT CHRYSL,0.00,1.00,0
KO50345,Rafael Pinto & CO S.A. (PROLUSA),532-002,FAJA GATES MICRO-V 5PK875,0.00,1.00,0
ZFR5F11/71 73 98 67,Rafael Pinto & CO S.A. (PROLUSA),130-009,NGK BUJIA ZFR5F-11 2262 / 3886,0.00,20.00,0
51220-S9A-982,DAILY,72-3060,"ROT. SUSP. RH/LH. HON. CRV. 01/05 , CIVIC. 02/05, K20,TIPO R. ELEMENT. 03/ SB-6272",0.00,3.00,0
JP1393,,800-751,Bush-Tij-Tras-Mit-Lancer-Mirage-92-00- Conico M-12X36X50,0.00,4.00,0
JP1993,,800-753,Sop-Mot-LH-Honda-CRV-02-06-ATM-K24,0.00,1.00,0
JP1915,,800-754,Sop-Mot-Tras-Honda-CRV-02-06-MT-ATM- K24,0.00,1.00,0
43330-49025,DAILY,72-2008,ROT SUSP TOYOTA RAV4 94-00/ CELICA 89-93 SB2972,0.00,2.00,0
339199G,EVER WINNING,533-006,COMPENSADOR NISSAN XTRAIL/ROGUE 07-12 T31 DELANTERO LH GASOLINA (QASHQAI 06-14 GASOLINA 1.6/2.0 O DIESEL 1.5),0.00,1.00,0
743256UGV,ACELUB (Aceites y Lubricantes) S.A.,106-38,CHV URSA HD SAE 50 GALON,2.00,1.00,26.086956521739133
H11087,,800-763,ANILLOS SWT10143 020 3E SWT10105 - 1.5/1.5/3.0-73.50MM,0.00,1.00,0
G518889S  13502180,Renapa S.A.,519-0052,GALLETA CHEVROLET SPARK GO 12-16 SONIC 13- 1.6,0.00,2.00,0
52321-SNA-A01,DAILY,72-3042,ROT EST TRAS LH HONDA CIVIC 06-15 SL6385L,0.00,1.00,0
JAP643,,800-768,BUSH-TIJ-DEL-INF-PARTE-TRAS-MIT-MONTERO- HYUNDAI-GALLOPER M-19X40X90,0.00,2.00,0
JAP643,,800-768,BUSH-TIJ-DEL-INF-PARTE-TRAS-MIT-MONTERO- HYUNDAI-GALLOPER M-19X40X90,0.00,2.00,0
93810-35000,,800-779,SWITCH PEDAL FRENO HY ACCENT BLUE 1.6,0.00,1.00,0
5462,,800-786,GALLETA DEL IZQU DER HYUNDAI GRAND I10,0.00,2.00,0
23060-2B000N-GMP,,800-783,BEARING BIELA (STD-A) ACCENT BLUE 1.4/1.6 GAMMA/GDI 11- (AZUL)(23060-2B002),0.00,1.00,0
48810-68L00,DAILY,72-3086,"ROT. DIR. EXT. RH. SUZ. SWIFT. 10/18, ERTIGA. 12/18, CIAZ. SE-S011L, CES-23 = M74L0",0.00,1.00,0
JP1990,,800-795,SOPORTE-CAJA-TOYOTA-4RUNNER-PRADO-95-08- DIESEL -1KZ,0.00,1.00,0
30-481,,800-800,TORNILLO ESTAB DEL LH I 10 2,0.00,2.00,0
71898/9G,EVER WINNING,533-011,AMORTIGUADOR TOYOTA TERCEL (EL30/31 SELLADO)- EL40/42 87-94 R/L Gas (333067/68) 15MM.,0.00,2.00,0
SP-008,Importaciones RE RE S.A.,505-025,ABRO PINTURA PREMIER GRIS AEROS 8oz,0.00,6.00,0
JP1360,,800-809,SOPORTE MOTOR DEL MITSUBISHI LANCER MIRAGE 92-00-4G15,0.00,1.00,0
14138/276 NTN,,800-812,ROLL BOC DEL INT KIA K2700 4WD HI-CAP14138A/276,0.00,1.00,0
60-653,Vazlo Costa Rica Sociedad Anonima,72-4004,ROTULA ESTAB. DEL. NISSAN TIIDA 06-16-VERSA 12-15-HYUNDAI ACCENT,0.00,4.00,0
60-653,Vazlo Costa Rica Sociedad Anonima,72-4004,ROTULA ESTAB. DEL. NISSAN TIIDA 06-16-VERSA 12-15-HYUNDAI ACCENT,0.00,1.00,0
S4-28342,,800-820,CABLE BUJIA CIVIC 1.5 1.6 CRX 88-92 BAQ MEDI D1,0.00,1.00,0
G333117,Renapa S.A.,522-0154,COMPENSADOR TOYOTA COROLLA 93-00 AE100/101/102 GEO PRIZM LH,0.00,1.00,0
G899094,Renapa S.A.,520-0092,PUNTA DE EJE SUZUKI SWIFT AERIO 04- BALENO 25x29x49 externa,0.00,1.00,0
G824305,Renapa S.A.,520-0035,PUNTA DE EJE HYUNDAI ELANTRA TUCSON 10- 27x30x60 externa,0.00,1.00,0
42431-52070/42431-52070,Renapa S.A.,509-1506,TAMBOR FRENO TOYOTA YARIS 06-10 PRIUS DAIHATSU CHARADE HACHBACK 11-,0.00,2.00,0
D1086C / 43022-TL0-G52,Renapa S.A.,509-0103,PASTILLA FRENO CERAMICA HONDA CRV 05- ACCORD RDX C/ARAÑA,0.00,1.00,0
D1225C/55810 M79F10,Renapa S.A.,509-0114,PASTILLA FRENO CERAMICA SUZUKI SWIFRENOT IGNIS CARRY 00-05 ALTO 00-12,0.00,1.00,0
48640-3U025,DAILY,72-3014,"ROT. DIR. EXT.LH. NIS.TIIDA. 04/13, VERSA.NOTE 05/12, SE-4951L = D8640-EW00AQ /48657-1U61A",0.00,1.00,0
33400-65J00,REPUESTOS BIANCHI,529-112,UF-562 GRAN VITARA SX4 06-,0.00,4.00,0
27301-04000,REPUESTOS BIANCHI,529-069,UF-707 Bobina DIS KIA PICANTO I10 RIO 11-14 MOTOR 1.0 1.2,0.00,1.00,0
MD703735N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0147,RET. CAJA T/M MONTERO/L200 (30x45x6) NJ611,2.00,2.00,13.953488372093023
N17224,,800-844,VLV.PCV KP-113 B13/N14 GA16DE 90- - 11810-57Y00,0.00,1.00,0
334700-JBO / 334700G,EVER WINNING,533-167,"AMORTIGUADOR MAZDA ""3"" “5” 04-13 Del RH G (SIN TORNILLOS ABAJO) BWEC-34-700A",0.00,1.00,0
KO264 / 54551-25000,NAVEMAR,534-0017,BUSH-TIJ-DEL-HYUNDAI-ACCENT-VERNA-99-05 M-12X33X54,0.00,2.00,0
MB527383,DAILY,72-3036,"ROT. SUSP. INF. HYU. GRACE, H100. 86/03, PORTER. 96/04,",1.00,1.00,13.043478260869566
27357-22070,,800-866,PLACA DE DIODOS NIPPONDENSO INR402P 41881 27357-22070,0.00,1.00,0
45046-19175,,72-1009,ROTULA DIRECCION COROLLA 84-00 YARIS HECHO 99-SE- 2651,0.00,2.00,0
RX30216,SPEEDCO,95-2004,LIMPIAPARABRISAS CONVENCIONALES MODELO PRO WEATHERBEATER 16,0.00,6.00,0
22441-047050N-POS,IMPORTADORA BRIGO INTERNACIONAL S.A.,524-0564,EMP. TAPA VALV. HY. GRAN i10 1.0 12 val.18-/PICANTO G3LA (3 pistones),0.00,1.00,0
MR296272,,800-406,BRAZO AUXILIAR MONTERO SPORT SI7805,0.00,1.00,0
4422A038,,800-879,ROTULA DIRECCION EXTERNA RH MITSUBISHI MONTERO 06 SEB041R,0.00,1.00,0
10-375,,800-900,ROTULA SUP FUSION - MILAN 2006-2009 / FUSION - MILAN 2010-20,0.00,2.00,0
22448-8H315,REPUESTOS BIANCHI,529-067,22448-6N015 UF-509 UF-350 UF-351 BOBINA NISSAN XTRAIL B15 ALMERA 22448-8H300,0.00,4.00,0
D1451C,,800-903,PASTILLA F HD ACCORD 10-14 EX LX 11- SE TRAS,0.00,1.00,0
LKR6F10/09482-00606,Rafael Pinto & CO S.A. (PROLUSA),130-023,"NGK BUJIA LKR6F-10 91230 /NGK LKR6F-10 SPARK PLUG DE   PARA VEHICULOS SUZUKI, BALENO, CIAZ, SWIFT",12.00,4.00,43.373493975903614
4422A038,,800-879,ROTULA DIRECCION EXTERNA RH MITSUBISHI MONTERO 06 SEB041R,0.00,1.00,0
ST2749GSP,Renapa S.A.,528-0085,ROLL BOC TRAS INT TY TERCEL 88-99 HCST2749,0.00,2.00,0
BD35080,Renapa S.A.,509-1537,TAMBOR FRENO MITSUBISHI L200 MONTERO SPORT -05,0.00,2.00,0
89465-48060 / 234-4048 24566 250-24137 234-4048,REPUESTOS BIANCHI,529-062,Sensor de oxígeno Toyota corolla 1zz/2zz 4 líneas,0.00,1.00,0
16010-B5200,,800-913,CARBURADOR J15 NISSAN,0.00,1.00,0
F11226,,800-916,NJ-207RETENEDOR TAPA BUJIA GA16 89-ARBOL - 2,0.00,4.00,0
48068-09040 48068-09041 48068-09081 48068-09150 48068-59095 48068-59135 48068-59145 48068-W9005,Ningbo Sunshine Auto Parts Co,11-154,Tijereta Inferior Completa RH Toyota Yaris 1.0 1.3 1.4 1.5 1.8 2005-2020 Yaris Vios 1.3 4WD 2005-2013 Verso S 1.33 1.4 2010-2016 Aqua 1.5 2011- Prius C 1.5 2011- Ractis 1.5 4WD 2005-2010,0.00,1.00,0
210202B913-STD,,800-920,BEARING BANCADA STD HY/KIA ACCENT/RIO 11+ (MOTOR G4FC/G4FA/G4FD),0.00,1.00,0
213502B001,,800-921,BOMBA ACEITE HY/KIA ACCENT/RIO 11+ MOTOR (G4FC/G4FA),0.00,1.00,0
G6PK1230,,800-923,FAJA 6PK1230 K060485,0.00,1.00,0
27301-2B100,REPUESTOS BIANCHI,529-056,BOBINA ACCENT VELOSTER 14-18,0.00,1.00,0
54500-A7000,DAILY,517-1104,TIJERETA LH. KIA CERATO. 13/18,0.00,1.00,0
AXB1101,REMUSA,800-013,ROL DEL. NISSAN SENTRA B13 Y B14 38X74X33 514002,0.00,2.00,0
Y01-352,,800-949,BOMBA ACEITE SUZUKI 16100-85FA2 GRAND VITARA H25/H27A,0.00,1.00,0
56540-0U500 565400U500 SRK-8590 CRKH-40 CR0282 73-1015,DAILY,72-3063,"ROT. CREMA. HYU. ACCENT BLUE. 11/20, KIA RIO. 10/17, CRKH-40, SRK-8590, = 57724-0U000, 16X16X233",0.00,2.00,0
22448-JA000,REPUESTOS BIANCHI,529-021,BOBINA DE IGNICIÓN NISSAN VERSA-SENTRA-KICKS-QASHQAI (07-)   22448-1KT1A  22448-5RB0A 22448-1HC0A 22448-ED000 UF-550 UF-549 UF-719,0.00,1.00,0
27301-26640,REPUESTOS BIANCHI,529-023,BOBINA DE IGNICIÓN HYUNDAI  ACCENT/KIA RIO (05-)UF-499,0.00,4.00,0
27301-2B100,REPUESTOS BIANCHI,529-056,BOBINA ACCENT VELOSTER 14-18,0.00,4.00,0
213502B001,,800-921,BOMBA ACEITE HY/KIA ACCENT/RIO 11+ MOTOR (G4FC/G4FA),0.00,1.00,0
ST2749GSP,Renapa S.A.,528-0085,ROLL BOC TRAS INT TY TERCEL 88-99 HCST2749,0.00,2.00,0
27301-26640,REPUESTOS BIANCHI,529-023,BOBINA DE IGNICIÓN HYUNDAI  ACCENT/KIA RIO (05-)UF-499,0.00,1.00,0
BKR5E11/98079-5585C,Rafael Pinto & CO S.A. (PROLUSA),130-001,NGK BUJIA BKR5E-11 6953 - 5101,0.00,4.00,0
J21302 / 21010-0W025,,800-962,BOMBA DE AGUA 21010-12G26 VG30 PATHFINDER 4WD N-62,0.00,1.00,0
952491,,800-957,FAJA DISTRIBUCIO GATES T104 NISSAN D21- PATFINDER VG30 86/93 133D,0.00,1.00,0
KO419,,800-475,BUSHING TIJERETA TRASERA HYUNDAI TUCSON IX35-11-20-SPORTAGE-11-20-4X4-4X2 M-14X40X45,0.00,4.00,0
4PK845,ARH DE ALAJUELA S.A.,376-73,FAJA  AUT CIVIC CRV 2.0 GEO SENTRA AE110/5AFE 95-0  4PK845,0.00,1.00,0
A01521,,800-967,SE-5281R EXT.RH.KB 88-89/TROP87- - 8-94459-480-0,0.00,2.00,0
60-575,,800-216,TIRANTE SUPERIOR TRASERO RH TOYOTA RAV4 2006-2018,0.00,1.00,0
16010-B5200,,800-913,CARBURADOR J15 NISSAN,0.00,1.00,0
PH1024T,JSM Unity Costa Rica Sociedad Anonima,530-0029,FILTRO ACEITE DAEWOO CHEVROLET DAIHATSU,0.00,12.00,0
3M8-13-350-A,,800-986,BOMBA GASOLINA MAZDA 3 2.0-2.3,0.00,1.00,0
D1543SM/58101 A6A00/ 581011RA10,Renapa S.A.,509-0028,PASTILLA FRENO SEMI METALICA HYUNDAI ELANTRA VELOSTER ACCENT 10- BLUE SORENTO,0.00,1.00,0
Z60118861A,,800-985,"234-4329 234-4392 234-4390 S1 MAZDA 3 6 1,6L NACIONAL GRIS",0.00,1.00,0
90919-02240,REPUESTOS BIANCHI,529-051,"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",0.00,3.00,0
